CUR_NME,SITE_TYPE,GIS_AREA,DISTRICT
Skuilkrans Private Nature Reserve,Nature Reserve,1856,Cape Winelands
Skuilte Private Nature Reserve,Nature Reserve,13,Garden Route
Sonquas Fontein Wildlife Private Nature Reserve,Nature Reserve,1173,West Coast
Soopjeshoogte Private Nature Reserve,Nature Reserve,792,West Coast
Southview Private Nature Reserve,Nature Reserve,28,Garden Route
Steenbokkie Private Nature Reserve,Nature Reserve,7155,Central Karoo
Steenboksfontein Private Nature Reserve,Nature Reserve,911,West Coast
Stilbaai Fynbos Private Nature Reserve,Nature Reserve,10,Garden Route
Sustersdal_Private_Nature_Reserve.pdf,Nature Reserve,1241,Garden Route
Swartberg Private Nature Reserve,Nature Reserve,1214,Central Karoo
Swartriet Private Nature Reserve,Nature Reserve,679,West Coast
Tankwa Private Nature Reserve,Nature Reserve,1483,Cape Winelands
Ten Einde Private Nature Reserve,Nature Reserve,185,Garden Route
Taayskloof Private Nature Reserve,Nature Reserve,4290,Garden Route
Tanqua Private Nature Reserve,Nature Reserve,3701,Cape Winelands
The Eyerpoort Private Nature Reserve,Nature Reserve,3622,Overberg
The Gums Private Nature Reserve,Nature Reserve,62,Garden Route
The Lagoon 2 Private Nature Reserve,Nature Reserve,39,Overberg
Vergaderingskop Private Nature Reserve,Nature Reserve,235,Garden Route
Vogelgat Private Nature Reserve,Nature Reserve,676,Overberg
Wadrift Private Nature Reserve,Nature Reserve,799,Garden Route
Wakkerstroom Private Nature Reserve,Nature Reserve,354,Cape Winelands
Wargundy Private Nature Reserve,Nature Reserve,3,Garden Route
Waterkop Private Nature Reserve,Nature Reserve,309,Overberg
West Point Private Nature Reserve,Nature Reserve,97,West Coast
Westford Bridge Private Nature Reserve,Nature Reserve,109,Garden Route
Whispering Hills Private Nature Reserve,Nature Reserve,260,Cape Winelands
Zuurkloof Private Nature Reserve,Nature Reserve,2672,Central Karoo
Zwartbosch Private Nature Reserve,Nature Reserve,5061,Cape Winelands
Oude Bosch Private Nature Reserve,Nature Reserve,317,Overberg
Otters Creek Private Nature Reserve,Nature Reserve,4,Garden Route
Ortmansgat Private Nature Reserve,Nature Reserve,817,Garden Route
Orca Private Nature Reserve,Nature Reserve,72,Garden Route
Opdrag Private Nature Reserve,Nature Reserve,165,Cape Winelands
Op de Berg Private Nature Reserve,Nature Reserve,423,West Coast
Olisshof Private Nature Reserve,Nature Reserve,22,Garden Route
Natekara Private Nature Reserve,Nature Reserve,5,Garden Route
Mosselbankfontein Private Nature Reserve,Nature Reserve,246,Garden Route
Mooiplaas Private Nature Reserve,Nature Reserve,236,Cape Winelands
MontEco Private Nature Reserve,Nature Reserve,5862,Cape Winelands
Matroosberg Private Nature Reserve,Nature Reserve,1461,Cape Winelands
Langverwacht Private Nature Reserve,Nature Reserve,8,Overberg
Lake Pleasant Private Nature Reserve Section No.6,Nature Reserve,10,Garden Route
Lake Pleasant Private Nature Reserve Section No.5,Nature Reserve,5,Garden Route
Lake Pleasant Private Nature Reserve Section No.4,Nature Reserve,6,Garden Route
Lake Pleasant Private Nature Reserve Section No.3,Nature Reserve,3,Garden Route
Lake Pleasant Private Nature Reserve Section No.2,Nature Reserve,153,Garden Route
Lake Pleasant Private Nature Reserve,Nature Reserve,4,Garden Route
Kwelanga Private Nature Reserve,Nature Reserve,9,Garden Route
Koeberg Private Nature Reserve,Nature Reserve,2681,City of Cape Town
